segment_id,segment_type,representative_segment,scheme,count,main_spacing_mm,stirrup_spec,dist_spec,cost_cny_per_m,max_crack_mm,spacing_objective_mm,joint_pareto_count,stirrup_pareto_count,joint_selected_rank,joint_selected_score,joint_selected_reason,joint_top3,stirrup_selected_rank,stirrup_required_asv_over_s,stirrup_selected_reason,stirrup_top3,governance_code_fingerprint,governance_config_sha256,governance_source_summary,governance_blocked_count,governance_approved_count
A1,A,A3,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.53, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.53 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.52 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.151; max_limit_ratio=0.044,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
A2,A,A3,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.53, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.53 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.52 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.151; max_limit_ratio=0.044,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
A3,A,A3,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.53, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.53 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.52 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.151; max_limit_ratio=0.044,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
B1,B,B2,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.63, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.63 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.62 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.221; max_limit_ratio=0.065,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
B2,B,B2,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.63, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.63 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.62 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.221; max_limit_ratio=0.065,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
C1,C,C2,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.64, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.64 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.62 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.046; max_limit_ratio=0.010,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
C2,C,C2,HRB400 D22,6,175.6,HPB300 D12@160.0 (2 legs layout),HRB400 D14@147.7 (7 bars ratio),0.00,0.000,-1.0,3,6,1,0.0500,"joint_score_min=0.0500; metric_rank(cost/crack/asv/dist/spacing)=1/1/1/1/3; delta_vs_runner_up(selected-#2): cost=-0.64, crack=0.000, Asv/s=0.00000, dist_ratio=-0.2134, spacing=-44.4",#1 score=0.0500 cost=0.00 crack=0.000 Asv/s=1.41372 s=175.6 | #2 score=0.5415 cost=0.64 crack=0.000 Asv/s=1.41372 s=220.0 | #3 score=0.5863 cost=0.62 crack=0.000 Asv/s=1.41372 s=176.4,1,1.40000,min_delta_to_required=0.01372; status=ok; max_ratio=0.046; max_limit_ratio=0.010,#1 HPB300 D12@160.0 (2 legs layout) Asv/s=1.41372 dReq=0.01372 | #2 HPB300 D10@220.0 (4 legs layout) Asv/s=1.42800 dReq=0.02800 | #3 HPB300 D8@140.0 (4 legs layout) Asv/s=1.43616 dReq=0.03616,e98a0246dfa6a1e6e8f622c5e9fd72426e302519133cbd73a1e166c8d2e1c79c,11adaef93f3666318ccc12960c21a66450734674b16b22de692e5764cd3eb9aa,all_project_default,0,0
